本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2335.8,542.2,7.22,45919395,20121390651,2705.1565,132993799672
2328.1,530.6,7.18,62931999,20009914802,2740.4429,129134687536
2314,530.8,7.18,66863482,20009914802,2768.0239,169769315382
2262.5,533,7.15,64413226,19926307916,2824.5337,151692873002
2256.4,533,7.54,37981159,21013197439,2876.4009,119528767878
2249.4,533,7.54,69322678,21013197439,2869.0495,145988585435
2223.1,530.3,7.33,65602596,20427949234,2873.5938,132419371783
2218.6,530.6,7.1,39653842,19786963105,2882.2254,157496681819
2211.7,524.4,7.23,66684650,20149259613,2903.6467,166412077081
2211.7,524.4,7.05,122851717,19647618295,2905.5618,228701875537
2211.7,524,7.04,92108673,19619749333,2859.5424,186996844742
2206.7,521.1,6.14,59438803,17111542742,2772.5454,129374568275
2205.4,521.1,5.93,23407675,16526294537,2787.257,138557147849
2198.2,519.2,6.01,41197937,16749246234,2798.1259,124035197841
2194.1,519.2,6.23,28855543,17362363401,2814.0418,129411192678
2191,517,6.25,55329787,17418101325,2831.1837,146300880631
2189.7,517,6.17,52083673,17195149628,2837.6586,170319086456
2182.2,517.6,5.94,34062050,16554163499,2777.7711,138318174306
2180.6,516.5,5.97,40412326,16637770386,2827.6252,132633113054
2180.3,516.1,5.77,38842602,16080391143,2815.1095,135654524822
2178.5,515.3,5.51,32094068,15355798128,2747.2285,148193039979
2178.3,514.8,5.38,31368298,14993501621,2733.8819,132993668188
2178.3,514.8,5.56,46027825,15495142939,2759.126,131016165049
2175.7,514.8,5.43,22850241,15132846431,2786.8878,161668028589
2174.6,515.6,5.47,36337515,15244322280,2775.557,147562760015
2174.6,513.2,5.58,33245012,15550880863,2847.4181,135652377932
2175.2,512.8,5.44,43178240,15160715393,2786.8966,129687431362
2175.2,511.8,5.47,35539704,15244322280,2813.1775,142413494358
2177.4,512.8,5.66,68913912,15773832560,2844.5081,138447246776
2179.7,510.3,5.95,40640882,16582032461,2859.3364,132350471587
2181.4,510.1,6.26,56103071,17445970287,2889.7603,127161473942
2181.4,508.6,6.18,63853903,17223018590,2875.8099,159713161813
2180,509,6.34,61996721,17668921984,2915.7314,153334278122
2178.9,518,6.02,91172303,16777115196,2907.8221,241203641069
2178.9,517.9,6.54,67149384,18226301227,3021.9008,162196016422
2175.2,518.3,6.52,63073410,18170563302,3044.1597,147588826970
2172.3,518.3,6.28,68130324,17501708211,3049.7965,155935263092
2169.9,517.6,6.18,42290790,17223018590,3079.8018,154469092280
2169.5,517.6,6.12,59795670,17055804817,3052.7831,143037323838
2167.5,516.9,5.99,50203839,16693508310,3067.1478,161178782867
2166.4,514.8,6.07,97557968,16916460007,3109.4988,167174304078
2165,510.8,5.76,47437658,16052522181,3115.1803,162879956680
2161.7,509,5.61,26659221,15634487749,3114.2055,164806307516
2167.4,509,5.63,37538633,15690225674,3091.1909,154671613292
2169.7,508.8,5.55,59176455,15467273977,3075.1372,166548881781
2169.9,508.1,5.46,32496281,15216453318,3095.4737,185199037044
2170.2,509.8,5.38,43539109,14993501621,3041.4434,191995196670
2188.8,507.6,5.65,72092584,15745963598,3120.4605,177826106449
2194.3,508.2,5.27,31082896,14686943037,3135.0821,168191258410
2211.4,508.4,5.43,18529214,15132846431,3141.3032,166554049935
2214.3,507.7,5.43,20088106,15132846431,3154.6506,160658185502
2221.4,510.4,5.49,39009495,15300060204,3168.9642,199358101015
2239.2,513.8,5.69,24707190,15857439446,3214.3497,185721667752
